JulainDate Kmag merr
2454603.630 9.621 0.008
2454662.519 9.726 0.010
2455543.852 9.655 0.016
2455560.865 9.696 0.019
2455564.823 9.759 0.018
2455570.855 9.766 0.019
2455572.857 9.842 0.018
2455574.823 9.864 0.018
2455578.824 9.683 0.020
2455579.839 9.741 0.020
2455582.866 9.746 0.018
2455586.863 9.750 0.022
2455588.854 9.776 0.021
2455589.817 9.680 0.023
2455591.822 9.733 0.020
2455593.865 9.709 0.026
2455595.798 9.646 0.024
2455599.848 9.859 0.022
2455604.860 9.757 0.017
2455606.827 9.656 0.024
2455608.764 9.651 0.022
2455615.807 9.757 0.022
2455617.819 9.736 0.019
2455620.778 9.765 0.023
2455620.778 9.765 0.023
2455622.683 10.121 0.056
2455624.775 9.726 0.024
2455628.751 9.816 0.020
2455630.796 9.782 0.021
2455632.804 9.735 0.016
2455634.747 9.720 0.018
2455637.799 9.703 0.018
2455640.708 9.799 0.019
2455642.750 9.786 0.021
2455648.742 9.783 0.020
2455651.743 9.737 0.022
2455655.692 9.784 0.019
2455657.675 9.808 0.019
2455659.663 9.720 0.022
2455662.650 9.792 0.019
2455665.667 9.671 0.019
2455669.626 9.831 0.020
2455673.678 9.774 0.012
2455680.617 9.733 0.016
2455684.632 9.722 0.018
2455687.583 9.715 0.021
2455691.575 9.746 0.018
2455693.678 9.639 0.033
2455696.633 9.656 0.017
2455698.564 9.671 0.023
2455700.505 9.754 0.020
2455704.551 9.669 0.018
2455707.529 9.679 0.016
2455711.517 9.679 0.024
2455724.568 9.700 0.016
2455727.500 9.705 0.025
2455736.572 9.673 0.014
2455739.470 9.735 0.018
2455748.577 9.681 0.016
2455757.534 9.676 0.011
2455765.545 9.737 0.018
2455768.531 9.656 0.015
2455777.490 9.697 0.017
2455784.487 9.688 0.022
2455924.846 9.526 0.029
2455934.824 9.487 0.009
2455942.819 9.479 0.009
2455945.775 9.460 0.010
2455948.810 9.519 0.008
2455952.805 9.522 0.009
2455955.791 9.478 0.009
2455959.771 9.386 0.011
2455964.737 9.331 0.010
2455969.782 9.469 0.011
2455972.793 9.466 0.009
2455975.788 9.434 0.011
2455979.775 9.544 0.009
2455998.636 9.674 0.007
2456002.688 9.645 0.008
2456005.733 9.678 0.006
2456011.678 9.666 0.006
2456014.572 9.688 0.007
2456017.653 9.617 0.008
2456020.602 9.627 0.007
2456025.627 9.678 0.007
2456030.703 9.642 0.007
2456033.616 9.649 0.006
2456036.630 9.662 0.006
2456039.559 9.640 0.007
2456042.659 9.658 0.005
2456047.635 9.639 0.006
2456052.603 9.654 0.006
2456055.576 9.645 0.007
2456058.554 9.661 0.006
2456062.530 9.674 0.006
2456065.519 9.656 0.006
2456068.524 9.652 0.008
2456071.512 9.660 0.007
2456082.540 9.657 0.007
2456104.500 9.696 0.008
2456113.599 9.691 0.005
2456116.552 9.626 0.007
2456119.511 9.770 0.006
2456123.509 9.658 0.006
2456126.502 9.631 0.007
2456129.542 9.621 0.012
2456138.505 9.705 0.006
2456149.465 9.646 0.007
2456369.757 9.667 0.006
2456382.662 9.617 0.032
2456474.559 9.619 0.007
2456486.542 9.666 0.006
2456660.852 9.576 0.009
2456693.772 9.647 0.008
2456736.696 9.643 0.007
2456771.688 9.672 0.008
2456791.504 9.668 0.007
2456857.529 9.595 0.010
2457091.732 9.641 0.009
2457091.738 9.804 0.012
2457152.615 9.724 0.010
